ALUTs,Registers,Logic Utilization,DSP Blocks,Memory Bits,RAM Blocks,Actual Clock Freq,Kernel fmax,1x clock fmax,ALMs needed [=A-B+C],ALMs used in final placement [=a+b+c+d],ALMs used for LUT logic & registers,ALMs used for LUT logic,ALMs used for registers,ALMs used for memory (up to half of total ALMs),Estimate of ALMs recoverable by dense packing,Due to LAB-wide signal conflicts,Due to LAB input limits,Total LABs: partially or completely used,Logic LABs,Memory LABs (up to half of total LABs),Combinational ALUT usage for logic,7 input functions,6 input functions,5 input functions,4 input functions,<=3 input functions,Memory ALUT usage,32-address deep,Dedicated logic registers,Primary logic registers,Design Implementation registers,M20K blocks,Total MLAB memory bits,Total block memory bits,Total block memory implementation bits,Total DSP Blocks,Total Fixed Point DSP Blocks,Total Floating Point DSP Blocks,Maximum fan-out,Total Fan-out,Average fan-out,Two Independent 18x18,Sum of two 18x18,Independent 27x27,Floating Point Multiplier,Floating Point Adder,Floating Point Addition of Products,Floating Point Vector Mode 1,Floating Point Vector Mode 2,Floating Point Accumulation of Products,Total Number of DSP Blocks,Fixed Point Signed Multiplier,Fixed Point Unsigned Multiplier,Fixed Point Mixed Sign Multiplier,Fixed Point Dedicated Output Adder Chain,Block Interconnects,C27 Interconnects,C4 interconnects,Direct Links,R3 Interconnects,R32 Interconnects,R32/C27 Interconnect drivers,R6 Interconnects
187764,343088,0.41,0.7,0.15,0.3,232.8888883,233.15,233.15,174247,0.54,45428,45313,121793,18160,0.14,200,36,0.88,35900,1816,164214,258,26444,16484,22184,98844,23550,23550,343088,0.39,341359,0.3,270841,0.15,0.3,0.7,360,705,345599,2213448,3.98,133,1,226,320,257,128,0,0,0,1065,32,73,256,0,0.22,0.51,0.26,0.03,0.24,0.45,0.11,0.27
96356,196988,0.25,0.16,0.2,0.42,201.0582006,201.16,201.16,104760,0.29,26514,22806,68197,6090,0.05,177,43,0.61,25583,609,86571,201,13993,8426,11935,52016,9785,9785,196988,0.22,195259,0.42,264975,0.2,0.42,0.16,106,139,212355,1824176,5.48,67,3,36,37,49,53,0,0,0,245,0,93,16,0,0.13,0.48,0.17,0.01,0.15,0.42,0.1,0.17
99299,200985,0.25,0.16,0.17,0.37,213.3333328,213.4,213.4,107817,0.29,27917,21381,69023,6660,0.05,887,41,0.58,24102,666,88007,1542,11564,7271,12763,54867,11292,11292,200985,0.23,199256,0.37,293568,0.17,0.37,0.16,106,134,212676,1828516,5.43,67,3,36,32,44,58,0,0,0,240,0,93,16,0,0.13,0.44,0.16,0.02,0.15,0.42,0.09,0.16
96099,194817,0.24,0.16,0.18,0.41,222.2222217,223.06,223.06,104217,0.29,26080,22558,67052,6270,0.05,188,60,0.58,24187,627,85994,190,13916,8167,11610,52111,10105,10105,194817,0.22,193088,0.41,271727,0.18,0.41,0.16,106,139,209976,1779706,5.39,67,3,36,37,49,53,0,0,0,245,0,93,16,0,0.13,0.47,0.16,0.02,0.15,0.37,0.09,0.16
93996,188511,0.24,0.16,0.21,0.42,220.2898545,220.31,220.31,102042,0.28,24259,22114,66449,6810,0.05,160,70,0.57,23542,681,82451,176,13046,7037,10679,51513,11545,11545,188511,0.21,186782,0.42,298256,0.21,0.42,0.16,106,139,196145,1785715,5.55,67,3,36,37,49,53,0,0,0,245,0,93,16,0,0.13,0.46,0.16,0.01,0.15,0.46,0.09,0.18
121462,250149,0.31,0.39,0.35,0.69,218.3574874,218.48,218.48,130323,0.38,30940,30599,90382,9920,0.08,210,86,0.76,31351,992,106463,147,20064,10304,13651,62297,14999,14999,250149,0.28,248420,0.69,285309,0.35,0.69,0.39,190,397,316506,2432005,5.63,121,0,69,91,118,188,0,0,0,587,0,156,34,0,0.18,0.57,0.23,0.02,0.21,0.5,0.11,0.23
94454,197437,0.24,0.17,0.21,0.43,224.6913575,224.82,224.82,104467,0.29,24627,22416,70431,6440,0.05,96,52,0.59,24413,644,83481,162,12723,6965,11933,51698,10973,10973,197437,0.22,195708,0.43,291407,0.21,0.43,0.17,106,154,204527,1815777,5.47,67,3,36,40,64,50,0,0,0,260,0,93,16,0,0.13,0.48,0.16,0.02,0.15,0.42,0.09,0.17
121462,250149,0.31,0.39,0.35,0.69,218.3574874,218.48,218.48,130323,0.38,30940,30599,90382,9920,0.08,210,86,0.76,31351,992,106463,147,20064,10304,13651,62297,14999,14999,250149,0.28,248420,0.69,285309,0.35,0.69,0.39,190,397,316506,2432005,5.63,121,0,69,91,118,188,0,0,0,587,0,156,34,0,0.18,0.57,0.23,0.02,0.21,0.5,0.11,0.23
119671,246834,0.3,0.39,0.35,0.67,203.3333328,203.37,203.37,130265,0.38,28934,31413,90680,10360,0.08,172,113,0.77,31890,1036,103569,163,21408,9048,12516,60434,16102,16102,246834,0.28,245105,0.67,326846,0.35,0.67,0.39,190,397,293902,2433224,5.71,121,0,69,91,118,188,0,0,0,587,0,156,34,0,0.18,0.58,0.24,0.02,0.21,0.54,0.11,0.24
115942,248051,0.3,0.39,0.16,0.49,197.9797975,198.13,198.13,126158,0.37,30301,26700,90041,9920,0.08,159,47,0.76,31375,992,100943,117,17268,8831,13555,61172,14999,14999,248051,0.28,246322,0.49,285309,0.16,0.49,0.39,190,397,292768,2140911,5.18,121,0,69,91,118,188,0,0,0,587,0,156,34,0,0.17,0.58,0.22,0.02,0.2,0.51,0.1,0.22
